#,variety,lysimeter,day of year,hour,minute,ET,hour of year,minute of year
169,A1,lys9,199,14,0,NA,199.5833333,199.5833333
170,A1,lys9,199,14,5,NA,199.5833333,199.5868056
171,A1,lys9,199,14,10,30,199.5833333,199.5902778
172,A1,lys9,199,14,15,30,199.5833333,199.59375
173,A1,lys9,199,14,20,35,199.5833333,199.5972222
174,A1,lys9,199,14,25,30,199.5833333,199.6006944
175,A1,lys9,199,14,30,30,199.5833333,199.6041667
176,A1,lys9,199,14,35,30,199.5833333,199.6076389
177,A1,lys9,199,14,40,30,199.5833333,199.6111111
178,A1,lys9,199,14,45,25,199.5833333,199.6145833
179,A1,lys9,199,14,50,30,199.5833333,199.6180556
180,A1,lys9,199,14,55,20,199.5833333,199.6215278
181,A1,lys9,199,15,0,25,199.625,199.625
182,A1,lys9,199,15,5,20,199.625,199.6284722
183,A1,lys9,199,15,10,20,199.625,199.6319444
184,A1,lys9,199,15,15,25,199.625,199.6354167
185,A1,lys9,199,15,20,30,199.625,199.6388889
186,A1,lys9,199,15,25,25,199.625,199.6423611
187,A1,lys9,199,15,30,30,199.625,199.6458333
188,A1,lys9,199,15,35,25,199.625,199.6493056
189,A1,lys9,199,15,40,25,199.625,199.6527778
190,A1,lys9,199,15,45,20,199.625,199.65625
191,A1,lys9,199,15,50,20,199.625,199.6597222
192,A1,lys9,199,15,55,20,199.625,199.6631944
193,A1,lys9,199,16,0,30,199.6666667,199.6666667
194,A1,lys9,199,16,5,20,199.6666667,199.6701389
195,A1,lys9,199,16,10,20,199.6666667,199.6736111
196,A1,lys9,199,16,15,20,199.6666667,199.6770833
197,A1,lys9,199,16,20,35,199.6666667,199.6805556
198,A1,lys9,199,16,25,NA,199.6666667,199.6840278
199,A1,lys9,199,16,30,10,199.6666667,199.6875
200,A1,lys9,199,16,35,NA,199.6666667,199.6909722
201,A1,lys9,199,16,40,NA,199.6666667,199.6944444
202,A1,lys9,199,16,45,NA,199.6666667,199.6979167
203,A1,lys9,199,16,50,NA,199.6666667,199.7013889
204,A1,lys9,199,16,55,NA,199.6666667,199.7048611
205,A1,lys9,199,17,0,25,199.7083333,199.7083333
206,A1,lys9,199,17,5,20,199.7083333,199.7118056
207,A1,lys9,199,17,10,0,199.7083333,199.7152778
208,A1,lys9,199,17,15,15,199.7083333,199.71875
209,A1,lys9,199,17,20,25,199.7083333,199.7222222
210,A1,lys9,199,17,25,NA,199.7083333,199.7256944
211,A1,lys9,199,17,30,10,199.7083333,199.7291667
212,A1,lys9,199,17,35,25,199.7083333,199.7326389
213,A1,lys9,199,17,40,NA,199.7083333,199.7361111
214,A1,lys9,199,17,45,10,199.7083333,199.7395833
215,A1,lys9,199,17,50,20,199.7083333,199.7430556
216,A1,lys9,199,17,55,NA,199.7083333,199.7465278
217,A1,lys9,199,18,0,5,199.75,199.75
218,A1,lys9,199,18,5,20,199.75,199.7534722
219,A1,lys9,199,18,10,NA,199.75,199.7569444
220,A1,lys9,199,18,15,10,199.75,199.7604167
221,A1,lys9,199,18,20,15,199.75,199.7638889
222,A1,lys9,199,18,25,0,199.75,199.7673611
223,A1,lys9,199,18,30,0,199.75,199.7708333
224,A1,lys9,199,18,35,15,199.75,199.7743056
225,A1,lys9,199,18,40,15,199.75,199.7777778
226,A1,lys9,199,18,45,NA,199.75,199.78125
227,A1,lys9,199,18,50,5,199.75,199.7847222
228,A1,lys9,199,18,55,10,199.75,199.7881944
229,A1,lys9,199,19,0,15,199.7916667,199.7916667
230,A1,lys9,199,19,5,0,199.7916667,199.7951389
231,A1,lys9,199,19,10,0,199.7916667,199.7986111
232,A1,lys9,199,19,15,0,199.7916667,199.8020833
233,A1,lys9,199,19,20,0,199.7916667,199.8055556
234,A1,lys9,199,19,25,NA,199.7916667,199.8090278
235,A1,lys9,199,19,30,20,199.7916667,199.8125
236,A1,lys9,199,19,35,0,199.7916667,199.8159722
237,A1,lys9,199,19,40,0,199.7916667,199.8194444
238,A1,lys9,199,19,45,10,199.7916667,199.8229167
239,A1,lys9,199,19,50,10,199.7916667,199.8263889
240,A1,lys9,199,19,55,0,199.7916667,199.8298611
241,A1,lys9,199,20,0,0,199.8333333,199.8333333
242,A1,lys9,199,20,5,10,199.8333333,199.8368056
243,A1,lys9,199,20,10,10,199.8333333,199.8402778
244,A1,lys9,199,20,15,0,199.8333333,199.84375
245,A1,lys9,199,20,20,0,199.8333333,199.8472222
246,A1,lys9,199,20,25,NA,199.8333333,199.8506944
247,A1,lys9,199,20,30,5,199.8333333,199.8541667
248,A1,lys9,199,20,35,5,199.8333333,199.8576389
249,A1,lys9,199,20,40,0,199.8333333,199.8611111
250,A1,lys9,199,20,45,0,199.8333333,199.8645833
251,A1,lys9,199,20,50,10,199.8333333,199.8680556
252,A1,lys9,199,20,55,10,199.8333333,199.8715278
253,A1,lys9,199,21,0,0,199.875,199.875
254,A1,lys9,199,21,5,0,199.875,199.8784722
255,A1,lys9,199,21,10,5,199.875,199.8819444
256,A1,lys9,199,21,15,10,199.875,199.8854167
257,A1,lys9,199,21,20,5,199.875,199.8888889
258,A1,lys9,199,21,25,0,199.875,199.8923611
259,A1,lys9,199,21,30,0,199.875,199.8958333
260,A1,lys9,199,21,35,5,199.875,199.8993056
261,A1,lys9,199,21,40,5,199.875,199.9027778
262,A1,lys9,199,21,45,10,199.875,199.90625
263,A1,lys9,199,21,50,0,199.875,199.9097222
264,A1,lys9,199,21,55,0,199.875,199.9131944
265,A1,lys9,199,22,0,10,199.9166667,199.9166667
266,A1,lys9,199,22,5,10,199.9166667,199.9201389
267,A1,lys9,199,22,10,5,199.9166667,199.9236111
268,A1,lys9,199,22,15,0,199.9166667,199.9270833
269,A1,lys9,199,22,20,0,199.9166667,199.9305556
270,A1,lys9,199,22,25,10,199.9166667,199.9340278
271,A1,lys9,199,22,30,5,199.9166667,199.9375
272,A1,lys9,199,22,35,10,199.9166667,199.9409722
273,A1,lys9,199,22,40,0,199.9166667,199.9444444
274,A1,lys9,199,22,45,0,199.9166667,199.9479167
275,A1,lys9,199,22,50,NA,199.9166667,199.9513889
276,A1,lys9,199,22,55,5,199.9166667,199.9548611
277,A1,lys9,199,23,0,0,199.9583333,199.9583333
278,A1,lys9,199,23,5,0,199.9583333,199.9618056
279,A1,lys9,199,23,10,0,199.9583333,199.9652778
280,A1,lys9,199,23,15,0,199.9583333,199.96875
281,A1,lys9,199,23,20,0,199.9583333,199.9722222
282,A1,lys9,199,23,25,0,199.9583333,199.9756944
283,A1,lys9,199,23,30,NA,199.9583333,199.9791667
284,A1,lys9,199,23,35,NA,199.9583333,199.9826389
285,A1,lys9,199,23,40,NA,199.9583333,199.9861111
286,A1,lys9,199,23,45,0,199.9583333,199.9895833
287,A1,lys9,199,23,50,0,199.9583333,199.9930556
288,A1,lys9,199,23,55,0,199.9583333,199.9965278
289,A1,lys9,200,0,0,5,200,200
290,A1,lys9,200,0,5,0,200,200.0034722
291,A1,lys9,200,0,10,0,200,200.0069444
292,A1,lys9,200,0,15,5,200,200.0104167
293,A1,lys9,200,0,20,15,200,200.0138889
294,A1,lys9,200,0,25,5,200,200.0173611
295,A1,lys9,200,0,30,0,200,200.0208333
296,A1,lys9,200,0,35,0,200,200.0243056
297,A1,lys9,200,0,40,0,200,200.0277778
298,A1,lys9,200,0,45,5,200,200.03125
299,A1,lys9,200,0,50,5,200,200.0347222
300,A1,lys9,200,0,55,10,200,200.0381944
301,A1,lys9,200,1,0,5,200.0416667,200.0416667
302,A1,lys9,200,1,5,0,200.0416667,200.0451389
303,A1,lys9,200,1,10,0,200.0416667,200.0486111
304,A1,lys9,200,1,15,5,200.0416667,200.0520833
305,A1,lys9,200,1,20,10,200.0416667,200.0555556
306,A1,lys9,200,1,25,5,200.0416667,200.0590278
307,A1,lys9,200,1,30,5,200.0416667,200.0625
308,A1,lys9,200,1,35,0,200.0416667,200.0659722
309,A1,lys9,200,1,40,0,200.0416667,200.0694444
310,A1,lys9,200,1,45,0,200.0416667,200.0729167
311,A1,lys9,200,1,50,10,200.0416667,200.0763889
312,A1,lys9,200,1,55,5,200.0416667,200.0798611
313,A1,lys9,200,2,0,5,200.0833333,200.0833333
314,A1,lys9,200,2,5,5,200.0833333,200.0868056
315,A1,lys9,200,2,10,0,200.0833333,200.0902778
316,A1,lys9,200,2,15,0,200.0833333,200.09375
317,A1,lys9,200,2,20,0,200.0833333,200.0972222
318,A1,lys9,200,2,25,NA,200.0833333,200.1006944
319,A1,lys9,200,2,30,0,200.0833333,200.1041667
320,A1,lys9,200,2,35,15,200.0833333,200.1076389
321,A1,lys9,200,2,40,5,200.0833333,200.1111111
322,A1,lys9,200,2,45,0,200.0833333,200.1145833
323,A1,lys9,200,2,50,5,200.0833333,200.1180556
324,A1,lys9,200,2,55,0,200.0833333,200.1215278
325,A1,lys9,200,3,0,0,200.125,200.125
326,A1,lys9,200,3,5,NA,200.125,200.1284722
327,A1,lys9,200,3,10,10,200.125,200.1319444
328,A1,lys9,200,3,15,5,200.125,200.1354167
329,A1,lys9,200,3,20,5,200.125,200.1388889
330,A1,lys9,200,3,25,5,200.125,200.1423611
331,A1,lys9,200,3,30,0,200.125,200.1458333
332,A1,lys9,200,3,35,0,200.125,200.1493056
333,A1,lys9,200,3,40,0,200.125,200.1527778
334,A1,lys9,200,3,45,NA,200.125,200.15625
335,A1,lys9,200,3,50,5,200.125,200.1597222
336,A1,lys9,200,3,55,10,200.125,200.1631944
337,A1,lys9,200,4,0,0,200.1666667,200.1666667
338,A1,lys9,200,4,5,5,200.1666667,200.1701389
339,A1,lys9,200,4,10,0,200.1666667,200.1736111
340,A1,lys9,200,4,15,0,200.1666667,200.1770833
341,A1,lys9,200,4,20,NA,200.1666667,200.1805556
342,A1,lys9,200,4,25,5,200.1666667,200.1840278
343,A1,lys9,200,4,30,10,200.1666667,200.1875
344,A1,lys9,200,4,35,5,200.1666667,200.1909722
345,A1,lys9,200,4,40,0,200.1666667,200.1944444
346,A1,lys9,200,4,45,0,200.1666667,200.1979167
347,A1,lys9,200,4,50,0,200.1666667,200.2013889
348,A1,lys9,200,4,55,0,200.1666667,200.2048611
349,A1,lys9,200,5,0,10,200.2083333,200.2083333
350,A1,lys9,200,5,5,5,200.2083333,200.2118056
351,A1,lys9,200,5,10,5,200.2083333,200.2152778
352,A1,lys9,200,5,15,5,200.2083333,200.21875
353,A1,lys9,200,5,20,5,200.2083333,200.2222222
354,A1,lys9,200,5,25,0,200.2083333,200.2256944
355,A1,lys9,200,5,30,0,200.2083333,200.2291667
356,A1,lys9,200,5,35,0,200.2083333,200.2326389
